ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,18,3,1,1,344.0,2,1,01/01,12/31
TWDB,2015,16,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,7,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,3,1,1,191.0,2,1,01/01,12/31
TWDB,2015,22,3,1,1,173.0,2,1,01/01,12/31
TWDB,2015,2,3,1,1,1261.0,2,1,01/01,12/31
TWDB,2015,23,3,1,1,11735.0,2,1,01/01,12/31
TWDB,2015,5,3,1,1,155.0,2,1,01/01,12/31
TWDB,2015,19,3,1,1,48.0,2,1,01/01,12/31
TWDB,2015,20,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,3,1,1,290.0,2,1,01/01,12/31
TWDB,2015,11,3,1,1,10.0,2,1,01/01,12/31
TWDB,2015,3,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,3,1,1,12.0,2,1,01/01,12/31
TWDB,2015,9,3,1,1,19.0,2,1,01/01,12/31
TWDB,2015,12,4,1,1,39684.0,2,1,01/01,12/31
TWDB,2015,13,4,1,1,1126.0,2,1,01/01,12/31
TWDB,2015,9999,4,1,1,28123.0,2,1,01/01,12/31
TWDB,2015,14,4,1,1,8571.0,2,1,01/01,12/31
TWDB,2015,15,4,1,1,554.0,2,1,01/01,12/31
TWDB,2015,4,4,1,1,3216.0,2,1,01/01,12/31
TWDB,2015,18,4,1,1,9551.0,2,1,01/01,12/31
TWDB,2015,16,4,1,1,2607.0,2,1,01/01,12/31
TWDB,2015,17,4,1,1,472.0,2,1,01/01,12/31
TWDB,2015,6,4,1,1,3018.0,2,1,01/01,12/31
TWDB,2015,7,4,1,1,284.0,2,1,01/01,12/31
TWDB,2015,21,4,1,1,6215.0,2,1,01/01,12/31
TWDB,2015,22,4,1,1,3331.0,2,1,01/01,12/31
TWDB,2015,2,4,1,1,27813.0,2,1,01/01,12/31
TWDB,2015,23,4,1,1,5727.0,2,1,01/01,12/31
TWDB,2015,5,4,1,1,3446.0,2,1,01/01,12/31
TWDB,2015,19,4,1,1,2034.0,2,1,01/01,12/31
TWDB,2015,20,4,1,1,1120.0,2,1,01/01,12/31
TWDB,2015,10,4,1,1,1438.0,2,1,01/01,12/31
TWDB,2015,11,4,1,1,991.0,2,1,01/01,12/31
TWDB,2015,3,4,1,1,3594.0,2,1,01/01,12/31
TWDB,2015,8,4,1,1,2747.0,2,1,01/01,12/31
TWDB,2015,9,4,1,1,100.0,2,1,01/01,12/31
TWDB,2015,12,5,1,1,37482.0,2,1,01/01,12/31
TWDB,2015,13,5,1,1,647.0,2,1,01/01,12/31
TWDB,2015,9999,5,1,1,7394.0,2,1,01/01,12/31
TWDB,2015,14,5,1,1,8608.0,2,1,01/01,12/31
TWDB,2015,15,5,1,1,273.0,2,1,01/01,12/31
TWDB,2015,4,5,1,1,8528.0,2,1,01/01,12/31
TWDB,2015,18,5,1,1,7720.0,2,1,01/01,12/31
TWDB,2015,16,5,1,1,1386.0,2,1,01/01,12/31
TWDB,2015,17,5,1,1,275.0,2,1,01/01,12/31
TWDB,2015,6,5,1,1,18681.0,2,1,01/01,12/31
TWDB,2015,7,5,1,1,825.0,2,1,01/01,12/31
TWDB,2015,21,5,1,1,2947.0,2,1,01/01,12/31
TWDB,2015,22,5,1,1,1468.0,2,1,01/01,12/31
TWDB,2015,2,5,1,1,11854.0,2,1,01/01,12/31
TWDB,2015,23,5,1,1,1188.0,2,1,01/01,12/31
TWDB,2015,5,5,1,1,18216.0,2,1,01/01,12/31
TWDB,2015,19,5,1,1,1557.0,2,1,01/01,12/31
TWDB,2015,20,5,1,1,293.0,2,1,01/01,12/31
TWDB,2015,10,5,1,1,1578.0,2,1,01/01,12/31
TWDB,2015,11,5,1,1,387.0,2,1,01/01,12/31
TWDB,2015,3,5,1,1,9463.0,2,1,01/01,12/31
TWDB,2015,8,5,1,1,19927.0,2,1,01/01,12/31
TWDB,2015,9,5,1,1,183.0,2,1,01/01,12/31
TWDB,2015,12,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,13,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,9999,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,14,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,15,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,18,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,16,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,7,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,6,1,1,0.0,2,1,01/01,12/31
TWDB,2015,22,6,1,1,0.0,2,1,01/01,12/31
