ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,48373,1,16,1,1,,152544,
TWDB,2015,48377,1,16,1,1,,35371,
TWDB,2015,48381,1,16,1,1,,3166,
TWDB,2015,48385,1,16,1,1,,8430,
TWDB,2015,48389,1,16,1,1,,5574,
TWDB,2015,48393,1,16,1,1,,3814,
TWDB,2015,48397,1,16,1,1,,57641,
TWDB,2015,48401,1,16,1,1,,4530268,
TWDB,2015,48405,1,16,1,1,,68482,
TWDB,2015,48409,1,16,1,1,,6165,
TWDB,2015,48413,1,16,1,1,,5716,
TWDB,2015,48417,1,16,1,1,,193963,
TWDB,2015,48421,1,16,1,1,,4168,
TWDB,2015,48425,1,16,1,1,,80926,
TWDB,2015,48429,1,16,1,1,,841667,
TWDB,2015,48433,1,16,1,1,,35694,
TWDB,2015,48437,1,16,1,1,,23600,
TWDB,2015,48441,1,16,1,1,,55684,
TWDB,2015,48445,1,16,1,1,,36502,
TWDB,2015,48449,1,16,1,1,,23162,
TWDB,2015,48453,1,16,1,1,,36851,
TWDB,2015,48457,1,16,1,1,,3382,
TWDB,2015,48461,1,16,1,1,,90112,
TWDB,2015,48465,1,16,1,1,,21424,
TWDB,2015,48469,1,16,1,1,,1660,
TWDB,2015,48473,1,16,1,1,,9236,
TWDB,2015,48477,1,16,1,1,,14677,
TWDB,2015,48481,1,16,1,1,,34853,
TWDB,2015,48485,1,16,1,1,,2238,
TWDB,2015,48489,1,16,1,1,,251059,
TWDB,2015,48493,1,16,1,1,,5196,
TWDB,2015,48497,1,16,1,1,,40569,
TWDB,2015,48501,1,16,1,1,,161905,
TWDB,2015,48505,1,16,1,1,,19938,
TWDB,2015,48509,1,16,1,1,,15687,
TWDB,2015,48513,1,16,1,1,,114037,
TWDB,2015,48517,1,16,1,1,,40419,
TWDB,2015,48521,1,16,1,1,,415,
TWDB,2015,48525,1,16,1,1,,803,
TWDB,2015,48529,1,16,1,1,,51414,
TWDB,2015,48533,1,16,1,1,,4659,
TWDB,2015,48537,1,16,1,1,,294,
TWDB,2015,48541,1,16,1,1,,3692,
TWDB,2015,48545,1,16,1,1,,31297,
TWDB,2015,48549,1,16,1,1,,3754,
TWDB,2015,48565,1,16,1,1,,7636,
TWDB,2015,48553,1,16,1,1,,50890,
TWDB,2015,48557,1,16,1,1,,13225,
TWDB,2015,48561,1,16,1,1,,20553,
TWDB,2015,48569,1,16,1,1,,19694,
TWDB,2015,48573,1,16,1,1,,17143,
TWDB,2015,48577,1,16,1,1,,17272,
TWDB,2015,48581,1,16,1,1,,79746,
TWDB,2015,48585,1,16,1,1,,24037,
TWDB,2015,48589,1,16,1,1,,3555,
TWDB,2015,48593,1,16,1,1,,12057,
TWDB,2015,48597,1,16,1,1,,19904,
TWDB,2015,48601,1,16,1,1,,81,
TWDB,2015,48605,1,16,1,1,,298941,
TWDB,2015,48609,1,16,1,1,,5943,
TWDB,2015,48625,1,16,1,1,,14185,
TWDB,2015,48629,1,16,1,1,,10350,
TWDB,2015,48633,1,16,1,1,,5552,
